BUYCITY,BUYSTATE,BUYCTY
Hernando,FL,CITRUS
Miami,FL,MIAMI-DADE
Orlando,FL,ORANGE
Sarasota,FL,SARASOTA
Tampa,FL,HILLSBOROUGH
